TC_ID,TC_ID gốc,FR,Kỹ thuật,Nhóm,Tiêu đề,Tiền điều kiện,Method+Endpoint,Headers,Request body/params,Expected HTTP,Expected/Assertion,Truy vết,Ưu tiên
TC-API1-011,TC-API1-D-011,FR-06,EP+BVA,Domain,Số nguyên VƯỢT biên INT32 và 2^53,—,"GET /api/products/2147483648, /9007199254740992, /9007199254740993",X-Student-Id: 23127362,Không,404,status=404; KHÔNG 500; phản hồi <5s; không trả bản ghi nào (chống mất chính xác JS),BV-ID-9; BV-ID-12; EP-ID-I7,Cao
TC-API1-012,TC-API1-D-012,FR-06,BVA,Domain,"id chuỗi số sát/bằng giới hạn URI (8191, 8192 ký tự)",—,GET /api/products/{'9' x 8191} rồi x 8192,X-Student-Id: 23127362,Không,400 hoặc 404,"status ∈ {400,404}; KHÔNG 500; phản hồi <5s",BV-ID-13; BV-ID-14,Trung bình
TC-API1-013,TC-API1-D-013,FR-06,BVA,Domain,id vượt giới hạn URI (8193 ký tự),—,GET /api/products/{'9' x 8193},X-Student-Id: 23127362,Không,414 [ASSUMPTION] (chấp nhận 400),"status ∈ {400,414}; KHÔNG 500; response KHÔNG chứa <html (không trả trang lỗi hạ tầng)",BV-ID-15,Trung bình
TC-API1-014,TC-API1-D-014,FR-06,EP,Domain,"Biểu diễn số thay thế: 007, 1e2, 0x1",Sản phẩm id 1/7/100 (nếu có),"GET /api/products/007, /1e2, /0x1",X-Student-Id: 23127362,Không,400 [ASSUMPTION],"Mỗi request status=400; kiểm âm tính: KHÔNG trả ""id"":7, ""id"":100, ""id"":1 tương ứng",EP-ID-I16; EP-ID-I17; EP-ID-I18,Trung bình
TC-API1-015,TC-API1-D-015,FR-06,EP,Domain,id có khoảng trắng bao quanh và dạng danh sách/mảng,Sản phẩm id=1 tồn tại,"GET /api/products/%201%20, /1,2, /%5B1%5D",X-Student-Id: 23127362,Không,400,"status=400; body KHÔNG chứa ""id"":1 (không trim ngầm, không tách phần tử đầu)",EP-ID-I15; EP-ID-I13,Trung bình
TC-API1-016,TC-API1-D-016,FR-06,EP,Domain,GET kèm request body (hợp lệ / sai cú pháp / nhị phân),Sản phẩm id=1 và id=2 tồn tại,GET /api/products/1 (x3),X-Student-Id: 23127362; Content-Type: application/json,"(1) {""id"":2} (2) {""id"": (3) chuỗi nhị phân 256 byte",200 (cả 3),Mỗi request: status=200 và body.id===1 (path thắng body); KHÔNG 500; không stack trace,EP-BODY-I1; EP-BODY-I2; EP-BODY-I4,Cao
TC-API1-017,TC-API1-D-017,FR-06,BVA,Domain,GET kèm body rất lớn (~10MB),Sản phẩm id=1 tồn tại,GET /api/products/1,X-Student-Id: 23127362; Content-Type: application/json,Body JSON ~10MB,200 hoặc 413,"status ∈ {200,413}; KHÔNG 500; phản hồi <10s; nếu 200 thì body.id===1 và đúng 6 trường",EP-BODY-I3,Thấp
TC-API1-018,TC-API1-D-018,FR-06,EP,Domain,Query string lạ / thuộc endpoint khác / ghi đè / trùng key,Đã có baseline TC-API1-001,"GET /api/products/1?foo=bar, ?search=abc, ?id=2, ?id=1&id=2, và 1000 cặp key-value",X-Student-Id: 23127362,Query như cột bên,200 (tất cả),"Mỗi request: status=200, body.id===1, body deep-equal baseline, Array.isArray(body)===false",EP-QUERY-I1; EP-QUERY-I2; EP-QUERY-I3; EP-QUERY-I4,Cao
TC-API1-019,TC-API1-D-019,FR-06,EP,Domain,Method không định nghĩa: PATCH / TRACE / method tự chế,Sản phẩm id=1 tồn tại,"PATCH, TRACE, FOO /api/products/1",X-Student-Id: 23127362,Không,405 (chấp nhận 501),"status ∈ {405,501}; KHÔNG 200; KHÔNG 500; TRACE không phản chiếu nguyên văn header đã gửi",EP-METHOD-I1; EP-METHOD-I4; EP-METHOD-I5,Cao
TC-API1-020,TC-API1-D-020,FR-06,EP,Domain,HEAD trên tài nguyên tồn tại,Sản phẩm id=1 tồn tại; có baseline TC-API1-001,HEAD /api/products/1,X-Student-Id: 23127362,Không,200,status=200; độ dài thân response===0; Content-Type là application/json; tập header khớp response GET,EP-METHOD-I2,Trung bình
TC-API1-021,TC-API1-D-021,FR-06,EP,Domain,OPTIONS — không lộ method quản trị cho khách ẩn danh,—,OPTIONS /api/products/1,X-Student-Id: 23127362,Không,200 hoặc 204 [ASSUMPTION],"status ∈ {200,204,405}; KHÔNG 500; ghi nhận nguyên văn header Allow / Access-Control-Allow-Methods để đối chiếu SEC-02",EP-METHOD-I3,Thấp
TC-API1-022,TC-API1-D-022,"FR-06, FR-15",EP,Domain,PUT/DELETE là method HỢP LỆ trên path — xác nhận không thuộc nhóm 405,Dùng id không tồn tại 999999; không gửi token,PUT và DELETE /api/products/999999,X-Student-Id: 23127362; Content-Type: application/json (cho PUT),"PUT body: {""name"":""x"",""price"":1,""description"":""x"",""imageUrl"":""http://x"",""category_id"":1}",status ≠ 405,status ≠ 405 (nếu 405 ⇒ mâu thuẫn chốt Q8); hậu điều kiện: GET /api/products giữ nguyên số lượng sản phẩm,EP-METHOD-V2; EP-METHOD-V3,Thấp
TC-API1-023,TC-API1-D-023,FR-06,EP,Domain,Content-Type không phù hợp / sai cú pháp / thiếu boundary,Sản phẩm id=1 tồn tại,GET /api/products/1 (x4),X-Student-Id + Content-Type: application/json | text/html | !!! | multipart/form-data (thiếu boundary),Không body,200 (chấp nhận 415 cho 2 case cuối),"Case 1-2: status=200, body.id===1, đúng 6 trường. Case 3-4: status ∈ {200,415}; KHÔNG 500; không stack trace",EP-CT-I1; EP-CT-I2; EP-CT-I3; EP-CT-I4,Trung bình
TC-API1-024,TC-API1-D-024,FR-06,EP,Domain,Accept: text/html — vẫn PHẢI trả JSON,Sản phẩm id=1 tồn tại,GET /api/products/1,X-Student-Id: 23127362; Accept: text/html,Không,200,status=200; Content-Type chứa application/json và KHÔNG chứa text/html; body KHÔNG chứa <html hoặc <!DOCTYPE; đúng 6 trường,EP-ACCEPT-I1,Cao
TC-API1-025,TC-API1-D-025,FR-06,EP,Domain,Accept không hỗ trợ / rác / rỗng — không content negotiation,Sản phẩm id=1 tồn tại,GET /api/products/1 (x3),X-Student-Id + Accept: application/xml | ### | (rỗng),Không,200 [ASSUMPTION],"Mỗi request: status=200, Content-Type là application/json, đúng 6 trường; KHÔNG 406; KHÔNG 500",EP-ACCEPT-I2; EP-ACCEPT-I3; EP-ACCEPT-I4,Thấp
TC-API1-026,TC-API1-S-001,FR-06,State Transition (0-switch),State Transition,"Quan sát S1 lặp lại — GET là phép đọc thuần, không gây chuyển trạng thái",Tồn tại ≥1 sản phẩm; ghi nhận C0 = số phần tử GET /api/products,GET /api/products/{ID_EXIST} x3,X-Student-Id: 23127362,Không,200 (cả 3),"R1,R2,R3 đều 200 + đúng 6 trường; deepEqual(R1,R2,R3); số lượng sản phẩm sau (C1) === C0",ST-05,Cao
TC-API1-027,TC-API1-S-002,FR-06,State Transition (0-switch),State Transition,Quan sát S0 lặp lại — GET id chưa từng tồn tại không tự sinh bản ghi,UNUSED_ID = N+1000; ghi nhận C0,GET /api/products/{UNUSED_ID} x3,X-Student-Id: 23127362,Không,404 (cả 3),"Cả 3: status=404 + body lỗi JSON, deepEqual với nhau; C1===C0; danh sách không chứa UNUSED_ID",ST-01,Cao
TC-API1-028,TC-API1-S-003,"FR-06, FR-15",State Transition (1-switch),State Transition,"S0→S1: sau khi TẠO, GET phản ánh sản phẩm mới",adminToken hợp lệ; category_id=1 tồn tại,POST /api/products rồi GET /api/products/{NEW_ID},X-Student-Id: 23127362; Authorization: Bearer {{adminToken}}; Content-Type: application/json (GET không token),"POST body P_BASE: {""name"":""ST_Product_{{runId}}"",""price"":100000,""description"":""Mo ta goc"",""imageUrl"":""http://localhost:3000/img/st.png"",""category_id"":1}",GET: 200,GET: 200 + đúng 6 trường + mọi giá trị khớp payload đã POST; C1===C0+1. Dọn dẹp: DELETE NEW_ID và xác minh GET→404,ST-02,Cao
TC-API1-029,TC-API1-S-004,"FR-06, FR-15",State Transition (1-switch),State Transition,"S1→S2: sau khi SỬA, GET trả GIÁ TRỊ MỚI và giữ nguyên id",Đã tạo NEW_ID (S1),PUT /api/products/{NEW_ID} rồi GET /api/products/{NEW_ID},X-Student-Id: 23127362; Authorization: Bearer {{adminToken}}; Content-Type: application/json (GET không token),"PUT body: {""name"":""..._EDITED"",""price"":250000,""description"":""Mo ta da sua"",""imageUrl"":""http://localhost:3000/img/st2.png"",""category_id"":1}",GET: 200,GET: 200; id bất biến; name/price/description/imageUrl đúng giá trị mới; body khác R_BEFORE; vẫn đúng 6 trường (không phát sinh updatedAt). Dọn dẹp: DELETE NEW_ID,ST-06,Cao
TC-API1-030,TC-API1-S-005,"FR-06, FR-15",State Transition (1-switch),State Transition,"S1→S3: sau khi XÓA, GET phải là 404 (không phải 200 thân rỗng, không cờ soft-delete)",Đã tạo NEW_ID (S1),DELETE /api/products/{NEW_ID} rồi GET /api/products/{NEW_ID},X-Student-Id: 23127362; Authorization: Bearer {{adminToken}}; Content-Type: application/json (GET không token),Không,GET: 404,GET: status=404 + body lỗi JSON; KHÔNG chứa name/price/deleted/isDeleted/deletedAt; danh sách không còn NEW_ID; C_END===C0,ST-07,Cao
TC-API1-031,TC-API1-S-006,"FR-06, FR-15",State Transition (n-switch),State Transition,"Vòng đời đầy đủ S0→S1→S2→S3, quan sát GET sau MỖI phép chuyển",adminToken hợp lệ,POST → GET → PUT → GET → DELETE → GET,X-Student-Id: 23127362; Authorization: Bearer {{adminToken}}; Content-Type: application/json (GET không token),POST: P_BASE; PUT: price=999000,"404, 200, 200, 404","Chuỗi status quan sát phải đúng [404,200,200,404]; GET#2 price===100000; GET#3 price===999000 và id===NEW_ID; mọi bước KHÔNG 500",ST-01; ST-02; ST-06; ST-07,Cao
TC-API1-032,TC-API1-S-007,"FR-06, FR-15",State Transition + Idempotency,State Transition,DELETE hai lần liên tiếp — trạng thái cuối không đổi,Đã tạo NEW_ID,DELETE x2 rồi GET /api/products/{NEW_ID},X-Student-Id: 23127362; Authorization: Bearer {{adminToken}}; Content-Type: application/json (GET không token),Không,GET: 404,GET: 404 + body lỗi JSON. Idempotency: C_AFTER_D2===C_AFTER_D1===C_AFTER_CREATE-1 (lần xóa thứ 2 không xóa thêm bản ghi nào); status của DELETE chỉ ghi nhận [ASSUMPTION],ST-07; ST-13,Cao
TC-API1-033,TC-API1-S-008,"FR-06, FR-15",State Transition (chuyển KHÔNG hợp lệ),State Transition,S3+PUT: sửa sản phẩm ĐÃ XÓA không được hồi sinh bản ghi,Đã tạo rồi xóa NEW_ID (S3),PUT /api/products/{NEW_ID} rồi GET,X-Student-Id: 23127362; Authorization: Bearer {{adminToken}}; Content-Type: application/json (GET không token),"PUT body zombie: {""name"":""ST_Zombie_{{runId}}"",""price"":1,...}",GET: 404,GET: 404; body KHÔNG chứa ST_Zombie_; C_AFTER===C_BEFORE; GET /api/products?search=ST_Zombie_ trả mảng rỗng,ST-14,Cao
TC-API1-034,TC-API1-S-009,"FR-06, FR-15",State Transition (chuyển KHÔNG hợp lệ),State Transition,S0+PUT và S0+DELETE trên id chưa từng tồn tại,UNUSED_ID = N+1000,"PUT rồi GET, DELETE rồi GET trên /api/products/{UNUSED_ID}",X-Student-Id: 23127362; Authorization: Bearer {{adminToken}}; Content-Type: application/json (GET không token),"PUT body ghost: {""name"":""ST_Ghost_{{runId}}"",...}",GET: 404 (cả hai lần),Cả hai GET: 404; body KHÔNG chứa ST_Ghost_; C1===C0; ?search=ST_Ghost_ trả mảng rỗng (không upsert ngầm),ST-03; ST-04,Trung bình
TC-API1-035,TC-API1-S-010,"FR-06, FR-15",State Transition (2-switch),State Transition,"S1→S2→S2': hai lần PUT liên tiếp, GET phản ánh lần sửa GẦN NHẤT",Đã tạo NEW_ID,PUT (V1) → GET → PUT (V2) → GET,X-Student-Id: 23127362; Authorization: Bearer {{adminToken}}; Content-Type: application/json (GET không token),PUT#1 price=111000 name=..._V1; PUT#2 price=222000 name=..._V2,200 (cả hai GET),R_V1.price===111000; R_V2.price===222000; R_V2.name kết thúc _V2 và KHÔNG chứa _V1; id không đổi qua các lần sửa. Dọn dẹp: DELETE NEW_ID,ST-06; ST-09; ST-10,Trung bình
TC-API1-036,TC-API1-S-011,"FR-06, FR-15",State Transition (kiểm cách ly),State Transition,Xóa sản phẩm A không được ảnh hưởng sản phẩm B,adminToken hợp lệ,POST x2 → GET B → DELETE A → GET A → GET B,X-Student-Id: 23127362; Authorization: Bearer {{adminToken}}; Content-Type: application/json (GET không token),POST#1 name=..._A; POST#2 name=..._B price=333000,GET A: 404; GET B: 200,GET A: 404. GET B: 200 và deepEqual với bản chụp trước khi xóa A (nguyên vẹn từng byte); ID_A≠ID_B. Dọn dẹp: DELETE ID_B,ST-07; ST-08,Trung bình
TC-API1-037,TC-API1-S-012,"FR-06, FR-15",State Transition (cấp phát id),State Transition,S3+POST: id của bản ghi đã xóa KHÔNG được tái sử dụng,adminToken hợp lệ,POST → DELETE → POST → GET id cũ → GET id mới,X-Student-Id: 23127362; Authorization: Bearer {{adminToken}}; Content-Type: application/json (GET không token),POST#1 name=..._OLD; POST#2 name=..._NEW price=444000,GET id cũ: 404 [ASSUMPTION]; GET id mới: 200,ID_NEW ≠ ID_OLD; GET ID_OLD=404; GET ID_NEW=200 với name _NEW và price 444000. Nếu id bị tái sử dụng ⇒ escalate (gây nhầm tham chiếu ở FE/giỏ hàng),ST-15; ST-12,Thấp
TC-API1-038,TC-API1-SEC-001,FR-06,Injection (EP),Security,SQL Injection — tautology qua path param id (SEC-05),"Đã có R_BASE, C0",GET /api/products/{payload} x3,X-Student-Id: 23127362,' OR '1'='1 ; 1' OR '1'='1 ; 1 OR 1=1,400 hoặc 404,"status ∈ {400,404} + body lỗi JSON; KHÔNG 500/stack trace/HTML. Nếu 200 kèm mảng nhiều bản ghi ⇒ vi phạm SEC-05; nếu body chứa SQLITE_/syntax error ⇒ rò rỉ nội bộ",EP-ID-I8,Cao
TC-API1-039,TC-API1-SEC-002,FR-06,Injection (EP),Security,SQL Injection — biến thể URL-encoded và double-encoded (SEC-05),Đã có R_BASE,GET /api/products/{payload} x3,X-Student-Id: 23127362,%27%20OR%20%271%27%3D%271 ; %2527%2520OR%25201%253D1 ; %00' OR '1'='1,400 hoặc 404,"status ∈ {400,404}; KHÔNG 500/stack trace/HTML. Nếu payload thô bị chặn nhưng bản encoded qua được ⇒ hệ thống dùng blacklist chuỗi thay vì parameterized query ⇒ vi phạm SEC-05",EP-ID-I8,Cao
TC-API1-040,TC-API1-SEC-003,FR-06,Injection + kiểm chứng toàn vẹn,Security,SQL Injection PHÁ HỦY (DROP TABLE) + xác minh toàn vẹn CSDL sau tấn công (SEC-05),"Đã sao lưu tệp CSDL; có R_BASE, C0",GET /api/products/{payload} x3 rồi 3 request kiểm chứng,X-Student-Id: 23127362,1'; DROP TABLE products;-- ; 1; DROP TABLE products;-- ; bản URL-encoded tương ứng,400 hoặc 404,"status ∈ {400,404}. TOÀN VẸN BẮT BUỘC: GET /api/products trả đúng C0 phần tử; GET /api/products/1 deep-equal R_BASE; GET /api/categories=200. Nếu xuất hiện 'no such table' ⇒ dừng đợt test và khôi phục CSDL",EP-ID-I9,Cao
TC-API1-041,TC-API1-SEC-004,FR-06,Injection (EP),Security,"SQL Injection — UNION SELECT trích xuất cột/bảng khác kể cả users (SEC-05, SEC-01)",Đã có R_BASE,GET /api/products/{payload} x4,X-Student-Id: 23127362,"1 UNION SELECT 1,2,3,4,5,6 ; 1 UNION SELECT null x6 ; 1 UNION SELECT id,email,password,1,1,1 FROM users-- ; -1 UNION SELECT name FROM sqlite_master--",400 hoặc 404,"status ∈ {400,404}. Nếu 200 ⇒ vi phạm SEC-05; nếu body chứa chuỗi dạng email hoặc hash mật khẩu ⇒ vi phạm đồng thời SEC-01, escalate; nếu chứa sqlite_master/CREATE TABLE ⇒ lộ lược đồ",EP-ID-I10,Cao
TC-API1-042,TC-API1-SEC-005,FR-06,Injection — blind boolean,Security,SQL Injection mù dạng boolean khi thông báo lỗi bị che (SEC-05),Đã có R_BASE của GET /api/products/1,GET /api/products/{payload} x2 rồi so sánh,X-Student-Id: 23127362,1 AND 1=1 ; 1 AND 1=2 (và bản URL-encoded),"400 (cả hai, giống hệt nhau)",Hai payload phải cho status GIỐNG NHAU và thân response deep-equal. Nếu 1 AND 1=1 trả 200 giống R_BASE còn 1 AND 1=2 trả 404/rỗng ⇒ SQLi mù xác nhận được ⇒ vi phạm SEC-05,EP-ID-I8,Cao
TC-API1-043,TC-API1-SEC-006,FR-06,Injection (EP),Security,XSS — bơm payload script/HTML qua path param (SEC-04),Sản phẩm id=1 tồn tại,GET /api/products/{payload} x4,X-Student-Id: 23127362,"<script>alert(1)</script> ; ""><img src=x onerror=alert(1)> ; bản URL-encoded ; javascript:alert(1)",400,status=400; Content-Type là application/json (không text/html); JSON.parse(rawBody) thành công. Nếu trả HTML hoặc payload phá vỡ cấu trúc JSON (nháy kép không escape) ⇒ vi phạm SEC-04,EP-ID-I11,Cao
TC-API1-044,TC-API1-SEC-007,FR-06,Injection (EP),Security,Null literal và operator injection dạng object (SEC-05),—,GET /api/products/{payload} x5,X-Student-Id: 23127362,"null ; undefined ; {""$gt"":0} ; {""$ne"":null} (URL-encoded) ; [$ne]=1",400,"status=400 + body lỗi JSON. Nếu 200 kèm mảng nhiều bản ghi ⇒ operator được diễn giải, mệnh đề lọc bị vô hiệu ⇒ vi phạm SEC-05; nếu null trả 200 với bản ghi bất kỳ ⇒ WHERE bị bỏ qua",EP-ID-I12; EP-ID-I14,Cao
TC-API1-045,TC-API1-SEC-008,FR-06,Injection (EP),Security,"Ký tự điều khiển, null byte và CRLF injection (SEC-05, SEC-04)",—,GET /api/products/{payload} x4,X-Student-Id: 23127362,%00 ; 1%00 ; 1%00.json ; 1%0d%0aX-Injected-Header:%20pwned,400 (chấp nhận 404 cho 1%00),"status ∈ {400,404}. Nếu 1%00 trả 200 với id=1 ⇒ chuỗi bị cắt tại null byte, bộ lọc tầng trên có thể bị vượt qua ⇒ SEC-05. Nếu response header chứa X-Injected ⇒ HTTP Response Splitting, escalate",EP-ID-I21,Cao
TC-API1-046,TC-API1-SEC-009,FR-06,Injection (EP),Security,Path traversal — path param bị dùng như đường dẫn tệp (SEC-05),—,GET /api/products/{payload} x5,X-Student-Id: 23127362,../../etc/passwd ; ..%2f..%2f..%2fetc%2fpasswd ; %2e%2e%2f... ; ....//....//etc/passwd ; ..%255c..%255cwindows%255cwin.ini,400 hoặc 404,"status ∈ {400,404}. Nếu body chứa root:x:0:0 hoặc [fonts] ⇒ đọc được tệp hệ thống, escalate nghiêm trọng; nếu chứa ENOENT hoặc đường dẫn tuyệt đối ⇒ rò rỉ cấu trúc thư mục",EP-ID-I22,Cao
TC-API1-047,TC-API1-SEC-010,FR-06,EP — tập ký tự,Security,Unicode tiếng Việt có dấu và emoji trong path param — không được gây 500,—,GET /api/products/{payload} x5,X-Student-Id: 23127362,một ; sản%20phẩm ; %E1%BB%99 ; 🙂 ; 1🙂,400,status=400; KHÔNG 500; phản hồi <5s. Nếu 500 ⇒ tầng parse/CSDL chưa xử lý UTF-8 nhiều byte (bề mặt DoS); nếu 1🙂 trả 200 với id=1 ⇒ chuỗi bị cắt tại ký tự ngoài ASCII ⇒ SEC-05,EP-ID-I19; EP-ID-I20,Trung bình
TC-API1-048,TC-API1-SEC-011,FR-06,EP — cú pháp header,Security,Authorization sai scheme / rỗng / thiếu tiền tố — endpoint public không được từ chối (SEC-02),Đã có R_BASE (ẩn danh),GET /api/products/1 x5,X-Student-Id + Authorization: (không gửi) | Basic ... | (rỗng) | {{userToken}} thiếu Bearer | Bearer (rỗng),Không,200 (cả 5),Mỗi request: 200 + đúng 6 trường + deepEqual R_BASE. Nếu bất kỳ request nào trả 401/403 ⇒ middleware xác thực áp nhầm lên endpoint public (mâu thuẫn chốt Q3); nếu 500 ⇒ parse header thiếu phòng thủ,EP-AUTH-V1; EP-AUTH-I3,Cao
TC-API1-049,TC-API1-SEC-012,FR-06,EP — trạng thái xác thực,Security,Token rác / sai chữ ký / hết hạn — không được đổi hay làm hỏng response (SEC-02),Đã có R_BASE và expiredToken,GET /api/products/1 x4,X-Student-Id + Authorization: Bearer abc.def.ghi | ...INVALIDSIGNATURE | {{expiredToken}} | ....,Không,200 (cả 4),Mỗi request: 200 + deepEqual R_BASE. Nếu 401 ⇒ mâu thuẫn chốt Q3; nếu 500 ⇒ xử lý token chưa bắt ngoại lệ (bề mặt DoS); nếu body chứa 'jwt malformed'/'invalid signature' kèm chi tiết thư viện ⇒ rò rỉ cơ chế xác thực,EP-AUTH-I1; EP-AUTH-I2; EP-AUTHSTATE-I1; EP-AUTHSTATE-I3,Cao
TC-API1-050,TC-API1-SEC-013,FR-06,BVA — kích thước header,Security,Authorization cực dài (8KB / 64KB) — không được sập (SEC-02),Đã có R_BASE,GET /api/products/1 x2,X-Student-Id + Authorization: Bearer + 'A' x 8192 (và x 65536),Không,200 hoặc 431 [ASSUMPTION],"status ∈ {200,431,400}; KHÔNG 500; phản hồi <10s; nếu 200 thì deepEqual R_BASE. Nếu 500 hoặc reset/timeout ⇒ bề mặt DoS qua header quá khổ; nếu trả trang HTML mặc định ⇒ lộ định danh máy chủ",EP-AUTH-I4,Trung bình
TC-API1-051,TC-API1-SEC-014,FR-06,Nâng quyền (EP),Security,"Giả mạo payload JWT đổi role thành admin giữ chữ ký cũ (SEC-02, SEC-03)","Đã có R_BASE, userToken, tamperedToken",GET /api/products/1 x4,X-Student-Id + Authorization: Bearer {{userToken}} | {{tamperedToken}} | JWT alg=none role=admin | JWT ký bằng khóa 'secret',Không,200 (cả 4),"Mỗi request: 200 + deepEqual R_BASE + đúng 6 khóa. Nếu response của tamperedToken KHÁC baseline theo bất kỳ cách nào ⇒ backend đọc role từ payload chưa verify chữ ký ⇒ vi phạm SEC-03, escalate vì lỗi sẽ lặp trên mọi API admin",EP-AUTHSTATE-I2,Cao
TC-API1-052,TC-API1-SEC-015,FR-06,So sánh baseline 3 chiều,Security,"Ẩn danh vs token user vs token admin — response phải GIỐNG HỆT NHAU (SEC-02, SEC-03)",userToken và adminToken còn hạn; sản phẩm id=1 tồn tại,GET /api/products/1 x3,X-Student-Id + Authorization: (không gửi) | Bearer {{userToken}} | Bearer {{adminToken}},Không,200 (cả 3),"Cả 3: 200 + đúng 6 khóa; deepEqual(anon,user) và deepEqual(user,admin). Nếu response admin chứa khóa không có ở anon (cost/stock/supplier/createdBy) ⇒ vi phạm SEC-02; ghi nhận riêng nếu Cache-Control/Vary khác nhau",EP-AUTH-V1; EP-AUTH-V2; EP-AUTH-V3; EP-AUTHSTATE-V1; EP-AUTHSTATE-V2; EP-AUTHSTATE-V3,Cao
TC-API1-053,TC-API1-SEC-016,FR-06,EP — header phụ trợ,Security,X-Student-Id thiếu / rỗng / sai giá trị — backend phải bỏ qua (SEC-02),Đã có R_BASE,GET /api/products/1 x4,X-Student-Id: 23127362 | (không gửi) | (rỗng) | 99999999,Không,200 (cả 4),"Mỗi request: 200 + deepEqual R_BASE. Nếu thiếu header làm đổi response hoặc trả 400/403 ⇒ ràng buộc ngầm không có trong spec, phải escalate; nếu giá trị khác trả dữ liệu khác ⇒ rủi ro truy cập chéo dữ liệu",EP-SID-V1; EP-SID-I1; EP-SID-I2; EP-SID-I3,Trung bình
TC-API1-054,TC-API1-SEC-017,FR-06,Injection + BVA — header phụ trợ,Security,"X-Student-Id chứa payload injection và giá trị cực dài (SEC-05, SEC-04)","Đã có R_BASE, C0",GET /api/products/1 x5,X-Student-Id: ' OR '1'='1 | 1'; DROP TABLE products;-- | <script>alert(1)</script> | 1%0d%0aX-Injected:%20pwned | '9' x 8192,Không,200 (chấp nhận 431 cho giá trị 8192 ký tự),"status ∈ {200,431}; KHÔNG 500; nếu 200 thì deepEqual R_BASE. Toàn vẹn sau payload DROP: GET /api/products vẫn C0 phần tử. Nếu số bản ghi giảm ⇒ header bị nối vào SQL (SEC-05); nếu header response có X-Injected ⇒ header injection",EP-SID-I4,Cao
